Дата:,2026-04-15T11:30:00+03:00

CharCode,NumCode,Nominal,Name,Value,Previous
AUD,036,1,Австралийский доллар,53.7268,53.6792
AZN,944,1,Азербайджанский манат,44.6195,44.8523
DZD,012,100,Алжирских динаров,57.41,57.6784
GBP,826,1,Фунт стерлингов,102.106,102.6386
AMD,051,100,Армянских драмов,20.2173,20.3227
BHD,048,1,Бахрейнский динар,201.6937,202.7458
BYN,933,1,Белорусский рубль,26.7985,26.835
BOB,068,1,Боливиано,10.9773,11.0346
BRL,986,1,Бразильский реал,15.0979,15.1812
HUF,348,100,Форинтов,24.5989,24.3234
VND,704,10000,Донгов,30.2132,30.3708
HKD,344,10,Гонконгских долларов,97.0114,97.5299
GEL,981,1,Лари,28.1302,28.277
DKK,208,1,Датская крона,11.86,11.9496
AED,784,1,Дирхам ОАЭ,20.6544,20.7621
USD,840,1,Доллар США,75.8532,76.2489
EUR,978,1,Евро,89.2556,89.1373
EGP,818,10,Египетских фунтов,14.4459,14.3487
INR,356,100,Индийских рупий,81.2408,81.6646
IDR,360,10000,Рупий,44.3016,44.5587
IRR,364,1000000,Иранских риалов,54.3491,54.6326
KZT,398,100,Тенге,15.9725,16.1158
CAD,124,1,Канадский доллар,54.9183,55.1529
QAR,634,1,Катарский риал,20.8388,20.9475
KGS,417,100,Сомов,86.7389,87.1914
CNY,156,1,Юань,11.091,11.1338
CUP,192,10,Кубинских песо,31.6055,31.7704
MDL,498,10,Молдавских леев,44.1631,44.3935
MNT,496,1000,Тугриков,21.228,21.3398
NGN,566,1000,Найр,55.9313,56.1939
NZD,554,1,Новозеландский доллар,44.4348,44.3654
NOK,578,10,Норвежских крон,79.8581,80.3263
OMR,512,1,Оманский риал,197.2775,198.3066
PLN,985,1,Злотый,21.0616,20.9625
SAR,682,1,Саудовский риял,20.2275,20.333
RON,946,1,Румынский лей,17.5602,17.4767
XDR,960,1,СДР (специальные права заимствования),103.8506,104.4717
SGD,702,1,Сингапурский доллар,59.5768,59.7515
TJS,972,10,Сомони,79.843,80.1903
THB,764,10,Батов,23.5774,23.7004
BDT,050,100,Так,61.7277,62.0497
TRY,949,10,Турецких лир,16.9786,17.1131
TMT,934,1,Новый туркменский манат,21.6723,21.7854
UZS,860,10000,Узбекских сумов,62.4749,62.88
UAH,980,10,Гривен,17.4376,17.5538
CZK,203,10,Чешских крон,36.7488,36.5509
SEK,752,10,Шведских крон,81.3688,82.4059
CHF,756,1,Швейцарский франк,97.1729,96.4565
ETB,230,100,Эфиопских быров,48.4852,48.5489
RSD,941,100,Сербских динаров,76.0623,75.7829
ZAR,710,10,Рэндов,46.3857,46.1318
KRW,410,1000,Вон,50.915,51.5265
JPY,392,100,Иен,47.6435,47.7003
MMK,104,1000,Кьятов,36.1206,36.309
